id	severity	category	location	title	recommended_fix	status
FINDING-022	info	file-operations	internal/controller/api/customer/iso_upload.go:143-315	ISO upload properly validates UUIDs preventing path traversal	Positive finding: customerID, vmID, isoID all validated as UUIDs via uuid.Parse() before use in filepath.Join(); this prevents path traversal attacks in ISO operations. File size limits enforced at multiple points (MaxBytesReader, header check, post-write check).	verified
FINDING-023	medium	ratelimit	internal/controller/api/customer/routes.go:112-199	Customer VM power/backup/snapshot operations lack rate limiting	Pre-built rate limit functions (VMStartRateLimit, VMStopRateLimit, ConsoleTokenRateLimit, BackupCreateRateLimit) exist in ratelimit.go but are not applied to customer routes. VM start/stop/restart (lines 116-119), console tokens (line 129), backup creation (line 184), and snapshot creation (line 197) are unprotected. Apply appropriate rate limits to prevent resource exhaustion abuse.	open
FINDING-024	medium	ratelimit	internal/controller/api/admin/routes.go:115-226	Admin VM/backup operations lack granular rate limiting	Admin routes use blanket AdminRateLimit (500/min) but pre-built granular limits (VMCreateRateLimit, VMDeleteRateLimit, BackupCreateRateLimit) are not applied. VM creation (line 138), deletion (line 141), migration (line 142), and backup restore (line 203) could be abused for resource exhaustion. Apply granular rate limits matching defined functions.	open
AUDIT-008	info	ratelimit	internal/controller/api/middleware/ratelimit.go:483-491	Tier 2 Rate Limiting audit - Redis failure handling	Verified Redis rate limiter fails closed on errors (returns false, denies requests). This is correct security behavior per CWE-693. Prevents rate limit bypass during Redis outages. Rate limit headers set correctly (X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Reset).	verified
AUDIT-009	info	grpc	internal/nodeagent/server.go:169-186	Tier 2 VM Lifecycle & gRPC audit - mTLS Configuration	Verified mTLS implementation: TLS 1.3 enforced (MinVersion), RequireAndVerifyClientCert for mutual authentication, CA certificate loaded and verified, no InsecureSkipVerify. gRPC message size bounded to 64 MiB preventing OOM attacks. Proper certificate validation chain.	verified
AUDIT-010	info	grpc	internal/controller/grpc_client.go:152-180	Tier 2 VM Lifecycle & gRPC audit - Controller gRPC Client	Verified controller-side mTLS: InsecureSkipVerify explicitly set to false, TLS 1.3 enforced, CA certificate pool properly configured, client certificates loaded for mutual auth. InsecureNodeClient exists but is clearly marked for development/testing only with IsInsecure() check.	verified
FINDING-025	high	authz	internal/nodeagent/grpc_handlers_console.go:21-118	Tier 2 VM Lifecycle & gRPC audit - Console Access Missing Authorization	Console handlers (StreamVNCConsole, StreamSerialConsole) accept VM ID from first frame data without any authorization check. Any authenticated gRPC client can connect to any VM's console. The controller validates tokens before proxying, but the node agent itself has no authz. Add authorization check to verify the caller (controller) has permission to access this VM's console.	open
FINDING-026	medium	validation	internal/nodeagent/server.go:659-667	Tier 2 VM Lifecycle & gRPC audit - Missing Upper Bounds on VM Resources	CreateVM validates that vcpu, memory_mb, disk_gb are positive but has no upper bounds. Malicious request could specify extremely large values (e.g., vcpu=999999999) causing resource exhaustion or integer overflow. Add maximum limits for vcpu (e.g., 128), memory_mb (e.g., 512000 = 500GB), disk_gb (e.g., 10000 = 10TB).	open
FINDING-027	medium	validation	internal/nodeagent/grpc_handlers_vm_lifecycle.go:151-166	Tier 2 VM Lifecycle & gRPC audit - ResizeVM Missing Upper Bounds	ResizeVM validates non-negative values but has no upper bounds for new_vcpu, new_memory_mb, new_disk_gb. Attacker with gRPC access could request unreasonably large resources. Add maximum limits consistent with CreateVM validation.	open
AUDIT-011	info	isolation	internal/nodeagent/vm/domain_xml.go:87-207	Tier 2 VM Lifecycle & gRPC audit - VM Isolation Mechanisms	Verified VM isolation: Q35 machine type with PCIe controllers, virtio devices, VNC bound to 127.0.0.1 only (not exposed externally), nwfilter reference (virtuestack-clean-traffic) for anti-spoofing, QEMU guest agent channel for secure guest communication, no passthrough of host devices. Template uses escapeXML for all user-provided values preventing XML injection.	verified
AUDIT-012	info	isolation	internal/nodeagent/network/nwfilter.go:47-138	Tier 2 VM Lifecycle & gRPC audit - Network Anti-Spoofing	VERIFIED WITH CAVEAT: nwfilter code exists with per-VM filters (vs-anti-spoof-*) enforcing MAC/IP/ARP spoofing protection, clean-traffic base filter, DHCP rogue server prevention, IPv6 ICMP rules. HOWEVER: See FINDING-037 - nwfilter code is never called at runtime. Protection relies on virtuestack-clean-traffic filter being manually created per INSTALL.md.	verified_with_caveat
AUDIT-013	info	authz	internal/controller/api/customer/console.go:26-100	Tier 2 VM Lifecycle & gRPC audit - Console Token Security	Verified console token implementation: tokens generated with crypto/rand (32 bytes), stored in tokenStore with VM/customer binding, validated on WebSocket connection, single-use tokens invalidated after first use, 1-hour expiry. WebSocket validates Origin header against allowlist. Per-IP connection limit (10 concurrent).	verified
FINDING-028	low	authz	internal/nodeagent/grpc_handlers_guest.go:23-126	Tier 2 VM Lifecycle & gRPC audit - Guest Command Arguments Not Validated	GuestExecCommand implements command whitelist (df, free, uname, date, uptime). Path validation ensures commands are from /usr/bin or /bin. Symlink resolution prevents path traversal. However, command arguments are not validated - attacker could pass dangerous flags (e.g., df -a exposing all filesystems including sensitive mounts). Consider validating/sanitizing arguments.	open
AUDIT-014	info	validation	internal/nodeagent/server.go:884-897	Tier 2 VM Lifecycle & gRPC audit - Path Traversal Protection	Verified validatePath function: cleans paths with filepath.Clean, checks prefix to prevent traversal attacks (../..), used for template_file_path and disk_path parameters. All file operations validated against allowed directories.	verified
AUDIT-015	info	auth	internal/nodeagent/server.go:547-585	Tier 2 VM Lifecycle & gRPC audit - gRPC Authentication Model	All gRPC methods (Ping, GetNodeHealth, GetVMStatus, GetVMMetrics, GetNodeResources, CreateVM, StartVM, StopVM, ForceStopVM, DeleteVM, etc.) have no authentication at the node agent level. mTLS provides transport security but no application-level auth. The node agent trusts any client with valid mTLS certificate. This is acceptable if controller is the only mTLS client, but document this trust model clearly.	info
AUDIT-016	info	ssrf	internal/controller/tasks/webhook_deliver.go:339-397	Tier 2 Webhook System SSRF audit - SSRF Protection	Verified comprehensive SSRF protection: HTTPS-only enforcement, custom DialContext resolves hostname and validates ALL resolved IPs against private ranges before TCP connect (DNS rebinding resistant), redirects blocked entirely (CheckRedirect returns error), pre-flight DNS check at registration time for fast-fail UX. Private ranges blocked: 0.0.0.0/8, 10.0.0.0/8, 172.16.0.0/12, 192.168.0.0/16, 127.0.0.0/8, 169.254.0.0/16 (covers 169.254.169.254 metadata), 100.64.0.0/10 (CGNAT), IPv6 loopback/ULA/link-local.	verified
AUDIT-017	info	crypto	internal/controller/services/webhook.go:489-517	Tier 2 Webhook System SSRF audit - Secret Management	Verified webhook secret handling: secrets encrypted at rest with AES-256-GCM before storage (field SecretHash stores encrypted value), minimum 16 chars maximum 128 chars enforced, HMAC-SHA256 signature for payload verification uses hmac.Equal for constant-time comparison, secrets never logged in service layer (service sanitizes URL to scheme+host only). Register method auto-generates 32-byte secrets via crypto/rand.	verified
AUDIT-018	info	logic	internal/controller/tasks/webhook_deliver.go:98-110	Tier 2 Webhook System SSRF audit - Idempotency	Verified webhook delivery idempotency: each delivery has unique IdempotencyKey (UUID), status tracked in database (pending/delivered/failed/retrying), already-delivered deliveries skipped, max 5 attempts with exponential backoff (10s, 60s, 5m, 30m, 2h), webhook auto-disabled after 50 consecutive failures.	IdempotencyKey sent in X-Idempotency-Key header for recipient deduplication.	verified
AUDIT-019	info	auth	internal/controller/services/webhook.go:207-213	Tier 2 Webhook System SSRF audit - Timing Oracle Protection	Verified no timing oracle in webhook lookups: GetByIDAndCustomer returns same ErrWebhookNotFound for both "webhook doesn't exist" and "webhook belongs to different customer", preventing enumeration of valid webhook IDs across customers. UUID validation via uuid.Parse() before database query prevents SQL injection.	verified
FINDING-029	medium	infoleak	internal/controller/api/customer/webhooks.go:176	Full webhook URL logged including path and query parameters	API handler logs req.URL which includes full path and query string; could log sensitive parameters in URL. Service layer correctly sanitizes to scheme+host only (line 193-196 of webhook.go). Apply same sanitization pattern in API handler: parse URL and log only scheme+host.	open
FINDING-030	low	infoleak	internal/controller/tasks/webhook_deliver.go:191	Full webhook URL logged when auto-disabling webhook	Auto-disable warning logs webhook.URL which includes full path; URL could contain sensitive path segments. Sanitize to scheme+host only before logging, matching the pattern used in webhook service Create method.	open
FINDING-031	medium	container	Dockerfile.controller, Dockerfile.admin-webui, Dockerfile.customer-webui	Base images not pinned to SHA digest enabling supply chain attacks	Add SHA digest pinning to all FROM statements (e.g., FROM alpine:3.19.4@sha256:...). Dockerfiles include comments acknowledging this recommendation but do not enforce it. Supply chain attacks could compromise base images between builds.	open
FINDING-032	medium	config	docker-compose.yml:95-96	JWT_SECRET and ENCRYPTION_KEY lack required validation	Unlike NATS_AUTH_TOKEN which uses ${VAR:?error} syntax to fail if unset, JWT_SECRET and ENCRYPTION_KEY use ${VAR} which allows empty values. Change to ${JWT_SECRET:?JWT_SECRET must be set in .env} and ${ENCRYPTION_KEY:?ENCRYPTION_KEY must be set in .env} to match NATS validation pattern.	open
FINDING-033	high	secrets	docker-compose.test.yml:26,40,51-52	Hardcoded test secrets in E2E test configuration	Test credentials hardcoded in plain text: POSTGRES_PASSWORD=virtuestack_test_password, NATS_AUTH_TOKEN=virtuestack_nats_test_token, JWT_SECRET=test_jwt_secret_for_e2e_testing_minimum_32_chars, ENCRYPTION_KEY=test_encryption_key_32_bytes!!. While intended for E2E testing, accidental use in production is possible. Move to .env.test file excluded from version control, or use Docker secrets. Apply to CI/CD only.	open
FINDING-034	low	config	nginx/conf.d/default.conf:74	CSP allows unsafe-inline and unsafe-eval reducing XSS protection	Content-Security-Policy includes 'unsafe-inline' and 'unsafe-eval' required for Next.js hydration. Add nonce-based CSP in production: generate per-request nonce in app server, pass via CSP header, use 'strict-dynamic' to allow trusted script chains. Document trade-off clearly.	open
FINDING-035	medium	config	docker-compose.yml:209-210	SSL certificate paths have insecure defaults	SSL_CERT_PATH and SSL_KEY_PATH default to ./ssl/cert.pem and ./ssl/key.pem which may not exist or contain test certificates. In production, require explicit paths via ${SSL_CERT_PATH:?SSL_CERT_PATH must be set} or document that defaults are development-only.	open
FINDING-036	info	config	docker-compose.override.yml:91	Delve debug port exposed in development environment	Port 40000 (Delve debugger) exposed to host in development. If development environment is accessible externally, attackers could attach debugger and execute arbitrary code. Acceptable for local development but document that docker-compose.override.yml should never be used in production or on network-accessible machines.	info
AUDIT-020	info	container	Dockerfile.*, docker-compose.yml	Tier 3 Docker audit - Container Security Controls	Verified strong container security: All services run as non-root users (virtuestack UID 1000, nginx-user UID 1000, nginx UID 101, postgres/nats use image defaults). security_opt: no-new-privileges:true applied to all services. cap_drop: ALL with minimal cap_add (NET_BIND_SERVICE only for nginx/controller). Resource limits prevent DoS. HEALTHCHECK on all services. Multi-stage builds reduce attack surface. No USER directive for postgres/nats as official images run non-root by default.	verified
AUDIT-021	info	config	nginx/conf.d/default.conf, nginx/conf.d/rate-limit.conf	Tier 3 Docker audit - Nginx Security	Verified nginx security: TLS 1.3 only (ssl_protocols TLSv1.3), HTTP to HTTPS redirect, comprehensive rate limiting (API 16r/s, login 5r/m burst, customer 2r/s), connection limits (10 per IP), security headers (HSTS with preload, X-Frame-Options SAMEORIGIN, X-Content-Type-Options nosniff, Referrer-Policy strict-origin-when-cross-origin), server_tokens off, hidden files blocked (location ~ /\\.), backup/log files blocked. Login rate limit very strict (5 requests per 15 minutes).	verified
AUDIT-022	info	network	docker-compose.yml:244-254	Tier 3 Docker audit - Network Isolation	Verified network segmentation: All services on single internal bridge network (virtuestack-network), no external ports exposed except nginx (80/443). PostgreSQL (5432), NATS (4222), Controller (8080), WebUIs (3000/3001) accessible only via nginx reverse proxy. IPAM with defined subnet prevents IP conflicts. Bridge ICC enabled for inter-container communication. Development override exposes ports for debugging but should not be used in production.	verified
AUDIT-023	info	secrets	.env.example, docker-compose.yml	Tier 3 Docker audit - Secret Management	Verified secret handling in deployment: Secrets injected via environment variables (not hardcoded in compose files), .env.example documents required secrets with placeholder values, NATS_AUTH_TOKEN uses ${VAR:?error} for required validation, POSTGRES_PASSWORD required in production. .env file excluded from version control. Production compose uses DATABASE_SSL_MODE=require by default. No secrets in Dockerfiles (build args are public URLs only).	verified
AUDIT-024	info	container	Dockerfile.controller:97-137	Tier 3 Docker audit - Controller Container Hardening	Verified controller Dockerfile: Multi-stage build with golang:1.24.2-alpine for compilation and alpine:3.19.4 for runtime. CGO_ENABLED=0 creates static binary (no CGO deps for controller). Non-root user created (virtuestack UID 1000). Binary and migrations copied with ownership. HEALTHCHECK via curl to /health endpoint. Comment recommends distroless image for zero attack surface (would require external health monitoring).	verified
FINDING-037	critical	isolation	internal/nodeagent/network/nwfilter.go, internal/nodeagent/vm/domain_xml.go:168-172	Tier 3 Network Audit - nwfilter Anti-Spoofing Dead Code / Filter Name Mismatch	Per-VM nwfilter code (CreateAntiSpoofFilter, EnsureBaseFilters) is NEVER called. Domain XML references 'virtuestack-clean-traffic' but code creates 'clean-traffic'. Per-VM filters (vs-anti-spoof-*) are never applied. VMs may have NO nwfilter protection unless 'virtuestack-clean-traffic' is manually created. Fix: Either (1) call CreateAntiSpoofFilter in CreateVM flow and update domain XML to reference vs-anti-spoof-* filter, OR (2) create virtuestack-clean-traffic filter with parameter variables ($IP, $IPV6, $MAC) to match domain XML parameters. Ensure consistent filter naming throughout.	open
FINDING-038	high	injection	internal/nodeagent/network/dhcp.go:391-393	Tier 3 Network Audit - dnsmasq Config Newline Injection	VMName and VMID used in dnsmasq config comments without newline validation. If VM name contains newlines, attacker could inject arbitrary dnsmasq directives (e.g., 'dhcp-host=attacker-mac,attacker-ip'). sanitizeHostname() exists for dhcp-host line but not for comments. Fix: Validate VMName/VMID for newlines or escape/strip newline characters before including in config file comments.	open
FINDING-039	high	bandwidth	internal/nodeagent/vm/domain_xml.go:162-167, internal/nodeagent/network/bandwidth.go:171-224	Tier 3 Network Audit - Dual Bandwidth Limiting Mechanisms	Domain XML includes libvirt bandwidth element AND bandwidth.go applies tc throttling separately. These are independent mechanisms: libvirt bandwidth set at VM creation, tc applied later. Neither enforces the other. If tc throttle not applied, only libvirt limit applies (and vice versa). Inconsistency could lead to missing or incorrect limits. Fix: Consolidate to single bandwidth limiting approach, or ensure both are always applied together with consistent values.	open
FINDING-040	medium	validation	internal/nodeagent/vm/domain_xml.go:304-305, internal/nodeagent/network/nwfilter_helpers.go:66-71	Tier 3 Network Audit - MAC Address Lacks Format Validation	MACAddress validated only for non-empty in validateDomainConfig, not for valid format. nwfilter addMACRule uses escapeXML but does not validate MAC format. Invalid MAC could result in malformed nwfilter rules. Fix: Add net.ParseMAC() validation in validateDomainConfig and in nwfilter helper functions.	open
FINDING-041	medium	validation	internal/nodeagent/network/nwfilter_helpers.go:75-88, 92-106	Tier 3 Network Audit - IP Addresses Lacks Format Validation in nwfilter	IPv4 and IPv6 addresses used in nwfilter rules are only escaped with escapeXML, not validated as proper IP format. Invalid IP would create malformed nwfilter rules. Fix: Add net.ParseIP() validation in addIPv4Rules and addIPv6Rules functions, or validate at CreateAntiSpoofFilter entry point.	open
FINDING-042	medium	spoofing	internal/nodeagent/network/nwfilter_helpers.go:50-63	Tier 3 Network Audit - IPv6 Neighbor Solicitation Not Validated	IPv6 ICMP rules allow all Neighbor Solicitations (type 135) outbound without validating target address. Malicious VM could send NS for addresses it doesn't own. Fix: Consider adding stricter IPv6 validation rules that verify the source address in NS packets matches VM's assigned IPv6 addresses.	open
AUDIT-025	info	injection	internal/nodeagent/network/abuse_prevention.go:34-35,63-64	Tier 3 Network Audit - nftables Command Injection Protection	Verified nftables rule injection prevention: tapInterface validated against validIfaceRegex (^[a-zA-Z0-9_]+$) before use in any nft command. Constants used for table name. exec.Command with strings.Fields splits command safely. No shell interpolation. Clean implementation.	verified
AUDIT-026	info	injection	internal/nodeagent/network/bandwidth.go:187-189,238-240,357-359,375-377,414-416	Tier 3 Network Audit - tc Command Injection Protection	Verified tc command injection prevention: Interface names validated against validIfaceRegex (^[a-zA-Z0-9_]+$) before all exec.Command calls. Rate/burst/latency values are integers formatted into safe strings. No shell interpolation. exec.CommandContext with separate arguments (not shell string).	verified
AUDIT-027	info	injection	internal/nodeagent/network/dhcp.go:372-386	Tier 3 Network Audit - dnsmasq Config Injection Protection	Verified partial dnsmasq injection protection: Bridge interface validated with validBridgeIfaceRegex, IP addresses validated with net.ParseIP(). Config file written with fmt.Sprintf but uses validated values for interface/IP. See FINDING-038 for VMName newline issue in comments.	verified_with_caveat
AUDIT-028	info	isolation	internal/nodeagent/network/nwfilter_helpers.go:32-35	Tier 3 Network Audit - Rogue DHCP Server Prevention	Verified rogue DHCP prevention: nwfilter drops outbound UDP from port 67 (DHCP server port) at priority 80. Prevents VMs from acting as DHCP servers. DHCP requests (port 68) explicitly allowed. DHCPv6 (ports 546/547) also handled correctly.	verified
AUDIT-029	info	isolation	internal/nodeagent/network/abuse_prevention.go:101-113	Tier 3 Network Audit - SMTP and Metadata Endpoint Blocking	Verified abuse prevention rules: Outbound TCP port 25 (SMTP) blocked to prevent spam. Outbound to 169.254.169.254/32 (cloud metadata endpoint) blocked to prevent SSRF attacks against cloud metadata services. Rules applied per tap interface via nftables.	verified
AUDIT-051	info	injection	internal/controller/tasks/*.go	Tier 3 Task System audit - Task Injection Prevention	Verified tasks are NOT directly injectable: Task creation flows through authenticated API handlers (JWT or API Key auth required), VMService/MigrationService validate inputs before publishing tasks, TaskPublisher interface internal to controller with no public endpoint for raw task submission, task payloads constructed from validated domain objects not user-provided JSON. No public API to submit arbitrary task types or payloads.	verified
AUDIT-052	info	deserialization	internal/controller/tasks/*.go	Tier 3 Task System audit - Safe Deserialization	Verified safe JSON deserialization: All task handlers use typed payload structs (VMCreatePayload, VMMigratePayload, BackupCreatePayload, etc.), json.Unmarshal errors handled and logged before processing, no use of interface{} for untyped payload data, no unsafe deserialization patterns. Handlers validate required fields before processing (e.g., vm_id, node_id required).	verified
AUDIT-053	info	queue	internal/controller/tasks/worker.go:153-162	Tier 3 Task System audit - Queue Security	Verified NATS JetStream security: NATS connection requires authentication (token or mTLS), stream configuration limits retention (7 days), consumer uses explicit ack policy preventing auto-ack, MaxDeliver=3 prevents infinite retry loops. Note: failed unmarshaling drops task silently (acks but logs error) which is acceptable for malformed messages.	verified
FINDING-051	medium	authz	internal/controller/tasks/handlers_vm_create.go:23-240	Tier 3 Task System audit - Task handlers lack ownership verification	Task handlers accept VM IDs from payload without verifying the task creator owns the VM. While tasks are created through authenticated APIs, a compromised or buggy task publisher could queue operations on arbitrary VMs. Add created_by validation in task handlers: verify task.CreatedBy matches VM.CustomerID for customer-initiated tasks.	open
FINDING-052	low	logic	internal/controller/tasks/worker.go:176-180	Tier 3 Task System audit - Task status update failure not handled robustly	If updateTaskStatus fails during "running" transition, task is Nak'd but may be re-queued for retry. The task could be executed multiple times if status update fails but the handler succeeds. Use idempotency key or check task status at handler start to prevent double-execution.	open
AUDIT-054	info	replay	internal/controller/tasks/snapshot_handlers.go:62-67,183-187,307-311	Tier 3 Task System audit - Task Replay Protection	Verified idempotency checks: snapshot handlers check task.IsTerminal() before processing, already-completed tasks return nil (skip processing), idempotent patterns in handlers (delete considers non-existent snapshot as success, migrate checks if VM already on target).	verified
FINDING-044	low	priority	internal/controller/tasks/worker.go	Tier 3 Task System audit - No Priority Escalation Protection	Task types are not validated against a whitelist before handler lookup. While RegisterAllHandlers only registers known types, an attacker who gains NATS publish access could potentially queue tasks with arbitrary type values that would fail with "no handler registered". Consider validating task.Type against allowed list before processing.	open
AUDIT-055	info	auth	internal/controller/services/vm_service.go:206-234	Tier 3 Task System audit - Task Creation Authorization	Verified task creation requires authorization: CreateVM validates plan/template/node existence, DeleteVM verifies ownership via getVMAndVerifyOwnership, ReinstallVM validates template and ownership, ResizeVM checks plan limits for non-admins. All task-publishing methods are private to services (not exposed), TaskPublisher interface abstraction prevents bypass.	verified
FINDING-054	medium	infoleak	internal/controller/tasks/handlers_vm_create.go:221-230	Tier 3 Task System audit - Sensitive data in task result	Task result includes VNC port and cloud-init path which could aid attackers in targeting VMs. While task results are only accessible to authenticated users, VNC port exposure reduces security by obscurity for console access. Consider omitting sensitive fields from task result or requiring elevated permissions to view.	open
